Ag-ls_a-arroz,Ag-ls_a-otragr,Ag-ls_a-banano,Ag-ls_a-pinia,Ag-ls_a-cafeenfruta,Ag-ls_a-for,Ag-ls_a-pesca,Manufacturing-ls_a-min,Manufacturing-ls_a-arrozelaborado,Manufacturing-ls_a-alimentos,Manufacturing-ls_a-prodcafe,Manufacturing-ls_a-bebtab,Manufacturing-ls_a-texcuero,Manufacturing-ls_a-refpet,Manufacturing-ls_a-cauchoplast,Manufacturing-ls_a-quimicos,Manufacturing-ls_a-prodminnomet,Manufacturing-ls_a-prodmet,Manufacturing-ls_a-maq,Manufacturing-ls_a-vehiculos,Manufacturing-ls_a-otrmnf,Manufacturing-ls_a-elegas,Manufacturing-ls_a-agua,Construction-ls_a-cns,Commerce-ls_a-comercio,Transport-ls_a-trnsferrocarril,Transport-ls_a-trnstierrapasajeros,Transport-ls_a-taxis,Transport-ls_a-trnmarairecarga,Transport-ls_a-otrtrns,Hotels-ls_a-hotelrest,Transport-ls_a-com,Commerce-ls_a-svcprf,Finance-ls_a-fin,Education-ls_a-edu,Education-ls_a-salud,Communication-ls_a-otrsvc,Home-ls_a-domest,Communication-ls_a-admpub,Ag-excap_a-arroz,Ag-excap_a-otragr,Ag-excap_a-banano,Ag-excap_a-pinia,Ag-excap_a-cafeenfruta,Ag-excap_a-for,Ag-excap_a-pesca,Manufacturing-excap_a-min,Manufacturing-excap_a-arrozelaborado,Manufacturing-excap_a-alimentos,Manufacturing-excap_a-prodcafe,Manufacturing-excap_a-bebtab,Manufacturing-excap_a-texcuero,Manufacturing-excap_a-refpet,Manufacturing-excap_a-cauchoplast,Manufacturing-excap_a-quimicos,Manufacturing-excap_a-prodminnomet,Manufacturing-excap_a-prodmet,Manufacturing-excap_a-maq,Manufacturing-excap_a-vehiculos,Manufacturing-excap_a-otrmnf,Manufacturing-excap_a-elegas,Manufacturing-excap_a-agua,Construction-excap_a-cns,Commerce-excap_a-comercio,Transport-excap_a-trnsferrocarril,Transport-excap_a-trnstierrapasajeros,Transport-excap_a-taxis,Transport-excap_a-trnmarairecarga,Transport-excap_a-otrtrns,Hotels-excap_a-hotelrest,Transport-excap_a-com,Commerce-excap_a-svcprf,Finance-excap_a-fin,Education-excap_a-edu,Education-excap_a-salud,Communication-excap_a-otrsvc,Home-excap_a-domest,Communication-excap_a-admpub,Wages-eta_wf_f-lab-l,Wages-eta_wf_f-lab-m,Wages-eta_wf_f-lab-h,Run.id
0.933483856,1.004388223,1.036741943,0.955772996,0.904380777,0.856942187,0.893059375,1.016560486,0.873627333,0.883369919,0.865467858,0.861197069,0.948517225,0.903303387,1.040023108,0.965683094,0.992171986,1.028752948,1.006984854,0.978513396,0.986821643,1.003398328,1.007611302,0.956137535,1.023730502,0.983016867,0.978194171,0.859305639,1.024785045,0.98819516,1.033785701,0.944796249,0.928948346,0.911655585,1.046987858,1.018430667,0.936333853,1.008452726,0.993828485,-0.049994931,-0.078177829,-0.089734429,-0.090773971,-0.042557043,-0.041213818,-0.091180672,-0.060764557,-0.084067096,-0.053043279,-0.09545136,-0.076470589,-0.045388479,-0.085061351,-0.090563395,-0.043668804,-0.044601876,-0.07014815,-0.04133885,-0.039271184,-0.097885793,-0.092847686,-0.070133371,-0.070895454,-0.060998587,-0.07983071,-0.068803244,-0.057673509,-0.07735896,-0.062717283,-0.086777216,-0.055821017,-0.067866852,-0.08741132,-0.095513082,-0.082327751,-0.069268761,-0.082287789,-0.056582362,-0.07,-0.07,-0.07,1
0.951595333,0.944752524,0.975402823,0.862607435,0.907084045,0.965705944,0.891517681,0.957194645,0.905950191,1.033040182,0.979604801,0.978145307,0.941110801,1.005011662,1.012812183,0.963368983,1.008626984,0.887571784,0.885228229,0.895332305,0.991187148,0.863093639,0.940276275,0.871001589,1.032022664,0.905556475,0.892039075,0.91587204,0.973087447,0.97969134,1.014650973,1.01284515,0.965999522,0.952110978,0.985888452,0.951361745,0.908508397,0.878114134,0.866056183,-0.060035827,-0.094027275,-0.046310039,-0.045850429,-0.07764099,-0.092482298,-0.089921819,-0.055247097,-0.045415733,-0.065781618,-0.059378895,-0.086688206,-0.03559266,-0.034142896,-0.097675245,-0.059741134,-0.059655117,-0.048385684,-0.07628202,-0.047169921,-0.078771735,-0.097343664,-0.035937045,-0.045354644,-0.082260273,-0.095733642,-0.059000715,-0.095341302,-0.051143633,-0.09696606,-0.095849094,-0.032878303,-0.033652893,-0.097593044,-0.036160723,-0.051836919,-0.053974479,-0.073389721,-0.057952019,-0.07,-0.07,-0.07,2
0.87383852,0.855217086,0.878608879,0.948310508,0.88800177,1.044562843,0.872372302,0.938140872,0.870550413,0.921656305,1.022559929,0.974334425,0.881477748,0.869151382,0.904689236,0.889638526,1.029524741,1.029680265,0.905897578,0.882667624,0.995202602,0.953419704,0.945057477,0.92473814,1.008132059,0.877722321,0.918950638,0.963841947,1.038669729,0.928263321,0.994760596,0.902317696,0.884435235,0.912505764,0.980469572,0.928723671,0.870670249,0.880471408,1.033781653,-0.066600415,-0.034988565,-0.074073429,-0.038479868,-0.032861775,-0.093637577,-0.033299414,-0.095847856,-0.033147875,-0.087419546,-0.073649122,-0.079997245,-0.09383823,-0.090850973,-0.094655783,-0.097849658,-0.070125663,-0.076313585,-0.081048211,-0.039926755,-0.091067324,-0.070004727,-0.051119621,-0.099011993,-0.03879598,-0.090885568,-0.037325881,-0.0910483,-0.094148466,-0.068545657,-0.047908123,-0.087080354,-0.063499981,-0.039788594,-0.060562494,-0.078488833,-0.07564784,-0.047119439,-0.098012575,-0.07,-0.07,-0.07,3
0.853872528,0.865189187,0.883954297,1.012427715,0.977959606,0.959770217,1.033084145,0.995931859,0.946403442,0.888352596,1.044450401,0.995802292,1.038861761,1.000879969,1.015398553,0.898184203,0.86219973,0.853035987,1.007736324,1.022626617,1.0397916,0.931167677,1.047378553,0.853043246,0.903467127,1.042179634,0.946427113,0.941142543,0.864998383,0.980181601,1.017369653,0.964530234,0.934366212,0.934851887,0.865152087,0.894839142,0.944768055,0.947605158,0.958754744,-0.069868663,-0.050029646,-0.09020794,-0.046063897,-0.055395972,-0.053669366,-0.092602092,-0.045911625,-0.080755496,-0.043960781,-0.057467117,-0.037308304,-0.053755954,-0.056991629,-0.073351187,-0.067659017,-0.049592242,-0.03089056,-0.051166085,-0.080049285,-0.061860403,-0.082731238,-0.041205919,-0.053752469,-0.086409599,-0.054292632,-0.055123388,-0.091948468,-0.08530809,-0.060604966,-0.082877532,-0.04618427,-0.043708312,-0.060314437,-0.076832016,-0.031886249,-0.098907291,-0.070878608,-0.085125185,-0.07,-0.07,-0.07,4
0.923062462,0.873064889,0.926875109,1.0193788,1.031267001,1.038453231,0.907951425,0.915120876,1.011541053,0.902450906,0.992172401,0.986318374,0.958598978,0.928205912,0.92324988,0.978536046,0.90869966,0.878228317,0.893146622,0.923697693,0.886883148,1.025662349,1.007272201,0.987750981,0.890263951,1.021331018,0.975858549,1.040769398,0.869285931,0.91692602,1.039298749,0.881440636,1.009027049,0.886484799,0.87689187,1.019780765,1.019999399,0.955791078,0.975811603,-0.072478839,-0.047282658,-0.056945406,-0.099968966,-0.081070423,-0.098278783,-0.043615595,-0.061160082,-0.092839486,-0.034476478,-0.072783125,-0.032493762,-0.045793741,-0.047691035,-0.044213608,-0.042038959,-0.077776152,-0.070692432,-0.063861261,-0.049606624,-0.079312031,-0.062737548,-0.047313948,-0.037641735,-0.039286932,-0.045012404,-0.042309902,-0.088759101,-0.056628738,-0.089517229,-0.071524464,-0.043275072,-0.06073985,-0.040524359,-0.046765778,-0.048586326,-0.032314279,-0.073419377,-0.036049137,-0.07,-0.07,-0.07,5
0.87780913,0.856172896,0.99139311,0.917312127,0.912463827,0.878821522,1.046880731,0.910413919,0.937843347,0.858362557,0.93539246,0.972615136,0.920129797,0.863104862,0.913047406,1.021874452,0.925833826,0.939461702,0.881303889,0.960730442,0.918278428,0.912809307,0.855956501,0.911088945,0.875118506,0.921513145,0.912743434,0.899840277,0.941422779,0.977658097,0.936074457,0.874167417,0.992254532,0.957166193,0.949698948,0.957742169,0.923642164,0.938133941,0.856424388,-0.099877292,-0.041722388,-0.047689181,-0.076911315,-0.07989588,-0.096191283,-0.069289731,-0.074612536,-0.037119161,-0.094229045,-0.059463149,-0.051121828,-0.031376889,-0.07402729,-0.042329918,-0.0956641,-0.038335567,-0.037078619,-0.088553933,-0.091692576,-0.099726525,-0.059964482,-0.083900452,-0.066403886,-0.05010293,-0.079289195,-0.039035753,-0.039864926,-0.048120519,-0.032047712,-0.088435151,-0.054977485,-0.094800864,-0.063877575,-0.069077098,-0.061478229,-0.034070908,-0.036754222,-0.034279967,-0.07,-0.07,-0.07,6
1.031594295,1.039718496,1.03818401,1.004475859,1.017165177,0.880669061,0.940572168,0.9373094,0.851041338,1.011160965,0.997949392,0.900958758,1.021477698,0.900381326,1.021824594,1.000539386,0.986968713,0.902169046,1.044756839,0.926583812,0.88218242,0.987812972,1.043401288,0.904002053,0.9922765,0.898855186,0.867811901,0.898590678,0.88835565,0.940251146,1.011902481,0.916144904,0.876931629,0.873324912,1.009941844,0.917360117,1.042484709,0.993557607,0.893045238,-0.056010485,-0.089736052,-0.059064024,-0.089419054,-0.05207278,-0.035555647,-0.059940588,-0.062077118,-0.071812359,-0.068764928,-0.083915804,-0.032351117,-0.096881042,-0.078333248,-0.031952645,-0.098517279,-0.042796782,-0.085093589,-0.050850639,-0.036275656,-0.042237043,-0.071300976,-0.040306279,-0.054144346,-0.073065014,-0.067472536,-0.039645639,-0.045007599,-0.067973766,-0.064917756,-0.048902057,-0.070354817,-0.071460039,-0.087813218,-0.085061191,-0.053092331,-0.090801671,-0.061920548,-0.053585357,-0.07,-0.07,-0.07,7
1.04720625,0.908335283,1.015729369,0.918841713,0.974343513,0.893411413,0.92639917,0.875227063,0.976021373,0.869158608,1.007086086,0.96966322,0.884528351,0.916545782,0.860089878,0.994066714,0.891372073,0.869558037,0.900870896,0.869113727,1.019470925,0.993141529,0.853237951,0.951147125,0.977947793,1.022034866,0.910909791,0.964253014,0.935233562,1.026857527,0.917376301,0.857353583,0.873563919,1.016467726,0.852869719,0.99439398,0.971615529,0.932829518,0.857791566,-0.09797993,-0.052196463,-0.057018873,-0.054140933,-0.032639215,-0.045349776,-0.095954621,-0.043392887,-0.058150165,-0.074923899,-0.078470718,-0.083057627,-0.044409257,-0.050952666,-0.070221441,-0.085813575,-0.04320784,-0.086589914,-0.085793165,-0.035653245,-0.055430027,-0.067495023,-0.094447435,-0.092214677,-0.044039895,-0.045886641,-0.073623173,-0.088498502,-0.066476346,-0.079428342,-0.049355241,-0.05811043,-0.088122935,-0.099097116,-0.058688084,-0.088168229,-0.034785675,-0.070423096,-0.049439247,-0.07,-0.07,-0.07,8
0.85243852,0.971556911,0.989130375,1.021604306,0.986828273,1.016866567,0.97989212,0.983572874,0.896581788,0.927126623,0.965733207,0.957129128,0.887606703,1.036860254,1.009299091,0.91326904,0.910395049,0.993918019,0.866552121,0.930663206,0.989442569,1.016243115,0.883951191,0.96199641,1.023292216,0.915362413,0.917622177,0.858720022,1.008256943,1.044929518,0.891774148,1.048208302,0.881335048,0.919225592,1.000520458,0.970234431,0.924365411,1.018973958,0.998618624,-0.090540198,-0.060551136,-0.063372828,-0.039121021,-0.035895274,-0.064357375,-0.097007363,-0.059065257,-0.041271624,-0.050597549,-0.038394524,-0.043265659,-0.046105268,-0.073019806,-0.038055272,-0.040619972,-0.045233204,-0.071650698,-0.071704272,-0.059936826,-0.070061517,-0.078897701,-0.096612059,-0.073757587,-0.092246074,-0.068692603,-0.036791757,-0.047553788,-0.063203682,-0.089321311,-0.090796119,-0.034960255,-0.094301542,-0.052016211,-0.042459656,-0.045385877,-0.070835792,-0.035219698,-0.055778778,-0.07,-0.07,-0.07,9
0.932886492,1.037815568,0.939621355,1.048316691,1.048194295,1.031261872,0.943909101,0.878450629,0.924814234,0.93377759,0.928405302,0.85414351,0.902165588,0.90695975,1.011650418,0.879955102,0.874875736,0.862070933,0.859525336,0.893783638,0.923367435,1.040016572,0.938545843,0.934244053,1.026281963,0.923956498,0.965338706,1.022366116,0.869712895,0.862560124,0.95903732,0.921198107,0.909470368,1.011983856,0.859689823,0.929859348,1.03293895,0.967945824,0.959887008,-0.058281944,-0.082159922,-0.041923646,-0.052280691,-0.0438382,-0.049318356,-0.089233425,-0.048141956,-0.074638004,-0.07648125,-0.094597353,-0.078505405,-0.055975064,-0.057703692,-0.084660685,-0.055222437,-0.099742666,-0.044550459,-0.095425698,-0.040017614,-0.07862923,-0.031399458,-0.095788524,-0.081142811,-0.064599243,-0.060376591,-0.09149104,-0.080515036,-0.079776006,-0.030816606,-0.064386009,-0.089945078,-0.082715462,-0.035511069,-0.086412451,-0.094172009,-0.076734027,-0.055428183,-0.033496727,-0.07,-0.07,-0.07,10
